Entry ID,Release Date
"124D","1993-10-31"
"157D","1994-05-31"
"165D","1994-08-31"
"176D","1994-11-01"
"17RA","1999-04-20"
"1A1T","1998-06-17"
"1A34","1998-04-29"
"1A3M","1998-04-29"
"1A4D","1998-04-29"
"1A4T","1998-04-29"
"1A51","1998-05-27"
"1A60","1998-05-27"
"1A9L","1998-06-17"
"1A9N","1998-09-23"
"1AC3","1997-06-16"
"1AFX","1997-05-15"
"1AJF","1997-07-07"
"1AJL","1997-07-07"
"1AJT","1997-08-20"
"1AJU","1997-12-17"
"1AKX","1997-11-19"
"1AL5","1997-12-17"
"1AM0","1997-07-23"
"1ANR","1997-01-11"
"1AQ3","1997-12-24"
"1AQ4","1997-12-24"
"1AQO","1998-02-04"
"1ARJ","1996-11-08"
"1ASY","1995-05-08"
"1ASZ","1995-05-08"
"1ATO","1997-11-12"
"1ATV","1998-02-25"
"1ATW","1998-02-25"
"1AUD","1998-02-25"
"1AV6","1998-02-25"
"1B23","1998-12-07"
"1B2M","1999-03-25"
"1B36","1998-12-23"
"1B7F","1999-05-03"
"1BAU","1999-04-27"
"1BGZ","1999-01-13"
"1BIV","1996-12-23"
"1BJ2","1999-02-02"
"1BMV","1989-10-09"
"1BN0","1999-04-27"
"1BR3","1999-02-23"
"1BVJ","1998-12-09"
"1BYJ","1999-10-29"
"1BYX","1999-10-20"
"1BZ2","1999-04-27"
"1BZ3","1999-04-27"
"1BZT","1999-04-27"
"1BZU","1999-04-27"
"1C04","1999-08-31"
"1C0A","1999-11-23"
"1C0O","1999-08-31"
"1C2Q","1999-11-29"
"1C2W","2000-04-10"
"1C2X","2000-04-10"
"1C4L","2000-08-09"
"1C9S","1999-09-15"
"1CGM","1994-04-30"
"1CQ5","1999-08-23"
"1CQL","2000-01-14"
"1CSL","2000-02-14"
"1CVJ","1999-10-04"
"1CWP","1995-05-22"
"1CX5","1999-09-14"
"1D0T","2000-05-24"
"1D0U","2000-05-24"
"1D4R","1999-12-02"
